,MusicPlayer,Messenger,Calendar,WordProcessor,PDFReader
Computer,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2,0.2
Cup,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.25
Calendar,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333
Plant,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333
Lamp,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333
Notebook,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333
Phone,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333
Bed,0.25,0.25,0.25,1.0,1.0
Keyboard,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333
PencilCase,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2,0.2
Headphones,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333
Mouse,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333
Scissors,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333
Book,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333
Stapler,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.25
Package,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333
VRHeadset,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333
